time,header,pose
2023/07/13 14:48:00.153036804,"{'stamp': {'secs': 1689252480, 'nsecs': 146743111}, 'frame_id': 'map'}","{'position': {'x': -1.9315547943115234, 'y': -0.7752300500869751, 'z': -1.5345840454101562}, 'orientation': {'x': 0.013506349926757389, 'y': 0.018925814096434845, 'z': -0.9970975475483359, 'w': -0.07249739819839918}}"
2023/07/13 14:48:00.240810661,"{'stamp': {'secs': 1689252480, 'nsecs': 238836496}, 'frame_id': 'map'}","{'position': {'x': -1.9256705045700073, 'y': -0.7717174291610718, 'z': -1.5367541313171387}, 'orientation': {'x': 0.013508715988956033, 'y': 0.018909356664952623, 'z': -0.9970974756561066, 'w': -0.07250224040033032}}"
2023/07/13 14:48:00.344042707,"{'stamp': {'secs': 1689252480, 'nsecs': 341413605}, 'frame_id': 'map'}","{'position': {'x': -1.9208496809005737, 'y': -0.7694234251976013, 'z': -1.5387134552001953}, 'orientation': {'x': 0.013501553633791621, 'y': 0.01890813046006989, 'z': -0.9970965720259888, 'w': -0.07251632027344507}}"
2023/07/13 14:48:00.450096704,"{'stamp': {'secs': 1689252480, 'nsecs': 448037911}, 'frame_id': 'map'}","{'position': {'x': -1.9160314798355103, 'y': -0.7686256766319275, 'z': -1.5417742729187012}, 'orientation': {'x': 0.01349992684284534, 'y': 0.018953935367738053, 'z': -0.9970955887631101, 'w': -0.07251818515696712}}"
2023/07/13 14:48:00.548223600,"{'stamp': {'secs': 1689252480, 'nsecs': 543614112}, 'frame_id': 'map'}","{'position': {'x': -1.9118279218673706, 'y': -0.7683917284011841, 'z': -1.543330192565918}, 'orientation': {'x': 0.013486449409953433, 'y': 0.019008291857761775, 'z': -0.9970952768838202, 'w': -0.07251075326419548}}"
2023/07/13 14:48:00.654226524,"{'stamp': {'secs': 1689252480, 'nsecs': 644625421}, 'frame_id': 'map'}","{'position': {'x': -1.908363699913025, 'y': -0.7683262228965759, 'z': -1.5454590320587158}, 'orientation': {'x': 0.01350581837138532, 'y': 0.01905758365875565, 'z': -0.9970941732111309, 'w': -0.07250938645182381}}"
2023/07/13 14:48:00.747433546,"{'stamp': {'secs': 1689252480, 'nsecs': 744605131}, 'frame_id': 'map'}","{'position': {'x': -1.905257225036621, 'y': -0.7685685753822327, 'z': -1.5477707386016846}, 'orientation': {'x': 0.01352713545661282, 'y': 0.01908617098706401, 'z': -0.9970933485208217, 'w': -0.07250923402523557}}"
2023/07/13 14:48:00.839416284,"{'stamp': {'secs': 1689252480, 'nsecs': 835554973}, 'frame_id': 'map'}","{'position': {'x': -1.901493787765503, 'y': -0.7672203779220581, 'z': -1.549896001815796}, 'orientation': {'x': 0.013552719748923938, 'y': 0.019087830697033778, 'z': -0.997093858548208, 'w': -0.07249700512528129}}"
2023/07/13 14:48:00.947780702,"{'stamp': {'secs': 1689252480, 'nsecs': 945661372}, 'frame_id': 'map'}","{'position': {'x': -1.898259162902832, 'y': -0.766547679901123, 'z': -1.5510892868041992}, 'orientation': {'x': 0.013550383343094994, 'y': 0.019099265475588222, 'z': -0.9970929946542362, 'w': -0.07250631131836333}}"
2023/07/13 14:48:01.42591768,"{'stamp': {'secs': 1689252481, 'nsecs': 40513419}, 'frame_id': 'map'}","{'position': {'x': -1.89218270778656, 'y': -0.7614014744758606, 'z': -1.5547239780426025}, 'orientation': {'x': 0.01352904847553611, 'y': 0.01907829900692008, 'z': -0.9970919388290371, 'w': -0.07253033073481036}}"
2023/07/13 14:48:01.146310934,"{'stamp': {'secs': 1689252481, 'nsecs': 142969468}, 'frame_id': 'map'}","{'position': {'x': -1.8879296779632568, 'y': -0.7582053542137146, 'z': -1.557081699371338}, 'orientation': {'x': 0.013515131361452002, 'y': 0.019054550855636208, 'z': -0.9970929194739562, 'w': -0.07252568683490879}}"
2023/07/13 14:48:01.248809779,"{'stamp': {'secs': 1689252481, 'nsecs': 247314368}, 'frame_id': 'map'}","{'position': {'x': -1.8844457864761353, 'y': -0.7546897530555725, 'z': -1.5575318336486816}, 'orientation': {'x': 0.013524531184952225, 'y': 0.019060326084634267, 'z': -0.9970917718134285, 'w': -0.07253819413062806}}"
2023/07/13 14:48:01.348435487,"{'stamp': {'secs': 1689252481, 'nsecs': 346783171}, 'frame_id': 'map'}","{'position': {'x': -1.8815109729766846, 'y': -0.7519242763519287, 'z': -1.5585639476776123}, 'orientation': {'x': 0.013541593844994721, 'y': 0.019071782492810885, 'z': -0.9970904672185918, 'w': -0.07254993129213916}}"
2023/07/13 14:48:01.447491590,"{'stamp': {'secs': 1689252481, 'nsecs': 445915884}, 'frame_id': 'map'}","{'position': {'x': -1.876774549484253, 'y': -0.7476575374603271, 'z': -1.56312894821167}, 'orientation': {'x': 0.013547349451409717, 'y': 0.01907004061509136, 'z': -0.9970904732032573, 'w': -0.07254923239487021}}"
2023/07/13 14:48:01.557456173,"{'stamp': {'secs': 1689252481, 'nsecs': 549022594}, 'frame_id': 'map'}","{'position': {'x': -1.8739330768585205, 'y': -0.7456904649734497, 'z': -1.5662047863006592}, 'orientation': {'x': 0.013554698978730939, 'y': 0.019067685660095222, 'z': -0.9970888792385639, 'w': -0.07257038237427427}}"
2023/07/13 14:48:01.644699232,"{'stamp': {'secs': 1689252481, 'nsecs': 636875850}, 'frame_id': 'map'}","{'position': {'x': -1.8686108589172363, 'y': -0.7415903210639954, 'z': -1.5709152221679688}, 'orientation': {'x': 0.013554904507974494, 'y': 0.019059228363139644, 'z': -0.997087832460892, 'w': -0.07258694604693805}}"
2023/07/13 14:48:01.750692522,"{'stamp': {'secs': 1689252481, 'nsecs': 747625332}, 'frame_id': 'map'}","{'position': {'x': -1.8645820617675781, 'y': -0.7389375567436218, 'z': -1.5752031803131104}, 'orientation': {'x': 0.013544549498625895, 'y': 0.019044617801656748, 'z': -0.997088361660343, 'w': -0.07258544449930071}}"
2023/07/13 14:48:01.849800069,"{'stamp': {'secs': 1689252481, 'nsecs': 841558692}, 'frame_id': 'map'}","{'position': {'x': -1.859385371208191, 'y': -0.7349643707275391, 'z': -1.579230785369873}, 'orientation': {'x': 0.013549921592407357, 'y': 0.019072846898014403, 'z': -0.9970882712503855, 'w': -0.07257827134178763}}"
2023/07/13 14:48:01.941897022,"{'stamp': {'secs': 1689252481, 'nsecs': 940107374}, 'frame_id': 'map'}","{'position': {'x': -1.8550746440887451, 'y': -0.731433093547821, 'z': -1.5819101333618164}, 'orientation': {'x': 0.013547996091833301, 'y': 0.019088028793509466, 'z': -0.9970874545501228, 'w': -0.0725858590734475}}"
2023/07/13 14:48:02.53193061,"{'stamp': {'secs': 1689252482, 'nsecs': 49302064}, 'frame_id': 'map'}","{'position': {'x': -1.8496443033218384, 'y': -0.7252852320671082, 'z': -1.5828535556793213}, 'orientation': {'x': 0.01354848721813351, 'y': 0.01906895992091386, 'z': -0.99708753287507, 'w': -0.0725897034484978}}"
